"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
4;"106003";"106003";"Biodiversitätsforschung";""
4;"106004";"106004";"Bioethik";""
4;"106005";"106005";"Bioinformatik";""
4;"106006";"106006";"Biophysik";""
4;"106007";"106007";"Biostatistik";""
4;"106008";"106008";"Botanik";""
4;"106009";"106009";"Chronobiologie";""
4;"106010";"106010";"Entwicklungsbiologie";""
4;"106011";"106011";"3R (Replacement, Reduction, Refinement von Tierversuchen)";""
4;"106012";"106012";"Evolutionsforschung";""
4;"106013";"106013";"Genetik";""
4;"106014";"106014";"Genomik";""
4;"106015";"106015";"Geobotanik";""
4;"106016";"106016";"Geschichte der Biologie";""
4;"106017";"106017";"Glykobiologie";""
4;"106018";"106018";"Humanbiologie";""
4;"106019";"106019";"Hydrobiologie";""
4;"106020";"106020";"Limnologie";""
4;"106021";"106021";"Meeresbiologie";""
4;"106022";"106022";"Mikrobiologie";""
4;"106023";"106023";"Molekularbiologie";""
4;"106024";"106024";"Mykologie";""
4;"106025";"106025";"Neurobiologie";""
4;"106026";"106026";"Ökosystemforschung";""
4;"106027";"106027";"Ökotoxikologie";""
4;"106028";"106028";"Pflanzenanatomie";""
4;"106029";"106029";"Pflanzenmorphologie";""
4;"106030";"106030";"Pflanzenökologie";""
4;"106031";"106031";"Pflanzenphysiologie";""
4;"106032";"106032";"Photobiologie";""
4;"106033";"106033";"Phylogenie";""
4;"106034";"106034";"Phytochemie";""
4;"106035";"106035";"Phytogeographie";""
4;"106036";"106036";"Populationsgenetik";""
4;"106037";"106037";"Proteomik";""
4;"106038";"106038";"Reproduktionsbiologie";""
4;"106039";"106039";"Stammzellenforschung";""
4;"106040";"106040";"Strahlenbiologie";""
4;"106041";"106041";"Strukturbiologie";""
4;"106042";"106042";"Systematische Botanik";""
4;"106043";"106043";"Systematische Zoologie";""
4;"106044";"106044";"Systembiologie";""
4;"106045";"106045";"Theoretische Biologie";""
4;"106046";"106046";"Tieranatomie";""
4;"106047";"106047";"Tierökologie";""
4;"106048";"106048";"Tierphysiologie";""
4;"106049";"106049";"Ultrastrukturforschung";""
4;"106050";"106050";"Vegetationskunde";""
4;"106051";"106051";"Verhaltensbiologie";""
4;"106052";"106052";"Zellbiologie";""
4;"106053";"106053";"Zoogeographie";""
4;"106054";"106054";"Zoologie";""
4;"106055";"106055";"Aerobiologie";""
4;"106056";"106056";"Biologische Anthropologie";""
4;"106057";"106057";"Metabolomik";""
4;"106058";"106058";"Bodenbiologie";""
4;"106059";"106059";"Mikrobiomforschung";""
4;"106060";"106060";"Tierethik";""
2;"107";"107";"Andere Naturwissenschaften";""
3;"1070";"1070";"Andere Naturwissenschaften";""
4;"107001";"107001";"Archäometrie";""
4;"107002";"107002";"Bionik";""
4;"107003";"107003";"Geschichte der Naturwissenschaften";""
4;"107004";"107004";"Humanökologie";""
4;"107005";"107005";"Lebensmitteluntersuchung";""
4;"107006";"107006";"Naturschutz";""
4;"107007";"107007";"Risikoforschung";""
4;"107008";"107008";"Archäobotanik";""
4;"107009";"107009";"Archäozoologie";""
4;"107010";"107010";"Geoarchäologie";""
1;"2";"2";"TECHNISCHE WISSENSCHAFTEN";""
2;"201";"201";"Bauwesen";""
3;"2011";"2011";"Bauingenieurwesen";""
4;"201101";"201101";"Baubetrieb";""
4;"201102";"201102";"Baudynamik";""
4;"201103";"201103";"Bauphysik";""
4;"201104";"201104";"Baustatik";""
4;"201105";"201105";"Baustofflehre";""
4;"201106";"201106";"Bautechnik";""
4;"201107";"201107";"Betriebsfestigkeit";""
4;"201108";"201108";"Bruchmechanik";""
4;"201109";"201109";"Brückenbau";""
4;"201110";"201110";"Festigkeitslehre";""
4;"201111";"201111";"Flussbau";""
4;"201112";"201112";"Hochbau";""
4;"201113";"201113";"Holzbau";""
4;"201114";"201114";"Industriebau";""
4;"201115";"201115";"Konstruktiver Wasserbau";""
4;"201116";"201116";"Landwirtschaftliches Bauwesen";""
4;"201117";"201117";"Leichtbau";""
4;"201118";"201118";"Siedlungswasserbau";""
4;"201119";"201119";"Stahlbau";""
4;"201120";"201120";"Stahlbetonbau";""
4;"201121";"201121";"Straßenbau";""
4;"201122";"201122";"Technischer Hochwasserschutz";""
4;"201123";"201123";"Tiefbau";""
4;"201124";"201124";"Tragwerkslehre";""
4;"201125";"201125";"Wasserbau";""
4;"201126";"201126";"Wasserkraftanlagenbau";""
4;"201127";"201127";"Wildbach- und Lawinenverbauung";""
4;"201128";"201128";"Nachhaltiges Bauen";""
4;"201129";"201129";"Erdbebeningenieurwesen";""
4;"201130";"201130";"Konstruktiver Glasbau";""
4;"201131";"201131";"Baugeschichte";""
4;"201132";"201132";"Computational Engineering";""
3;"2012";"2012";"Architektur";""
4;"201201";"201201";"Architekturgeschichte";""
4;"201202";"201202";"Architekturmodellbau";""
4;"201203";"201203";"Architekturtheorie";""
4;"201204";"201204";"Barrierefreies Bauen";""
4;"201205";"201205";"Bauforschung";""
4;"201206";"201206";"Entwerfen";""
4;"201207";"201207";"Gebäudelehre";""
4;"201208";"201208";"Industriearchitektur";""
4;"201209";"201209";"Innenarchitektur";""
4;"201210";"201210";"Landschaftsarchitektur";""
4;"201211";"201211";"Solararchitektur";""
4;"201212";"201212";"Städtebau";""
4;"201213";"201213";"Wohnbau";""
4;"201214";"201214";"Experimentelle Architektur";""
4;"201215";"201215";"Baukulturelles Erbe";""
3;"2013";"2013";"Verkehrswesen";""
4;"201301";"201301";"Bahnbau";""
4;"201302";"201302";"Eisenbahnwesen";""
4;"201303";"201303";"Seilbahnwesen";""
4;"201304";"201304";"Straßenbau";""
4;"201305";"201305";"Verkehrstechnik";""
4;"201306";"201306";"Verkehrstelematik";""
4;"201307";"201307";"Verkehrswirtschaft";""
3;"2019";"2019";"Sonstiges Bauwesen";""
4;"201901";"201901";"Altbausanierung";""
4;"201902";"201902";"Bauökologie";""
4;"201903";"201903";"Ingenieurbiologie";""
4;"201904";"201904";"Vegetationstechnik";""
4;"201905";"201905";"Bauen im Bestand";""
4;"201906";"201906";"Bauwerksbegrünung";""
2;"202";"202";"Elektrotechnik, Elektronik, Informationstechnik";""
3;"2020";"2020";"Elektrotechnik, Elektronik, Informationstechnik";""
4;"202001";"202001";"Audiotechnik";""
4;"202002";"202002";"Audiovisuelle Medien";""
4;"202003";"202003";"Automatisierungstechnik";""
4;"202004";"202004";"Brain-Computer Interface";""
4;"202005";"202005";"Computer Architektur";""
4;"202006";"202006";"Computer Hardware";""
4;"202007";"202007";"Computer Integrated Manufacturing (CIM)";""
4;"202008";"202008";"Elektrische Anlagen";""
4;"202009";"202009";"Elektrische Antriebstechnik";""
4;"202010";"202010";"Elektrische Energietechnik";""
4;"202011";"202011";"Elektrische Maschinen";""
4;"202012";"202012";"Elektrische Messtechnik";""
4;"202013";"202013";"Elektromagnetische Verträglichkeit";""
4;"202014";"202014";"Elektromagnetismus";""
4;"202015";"202015";"Elektronik";""
4;"202016";"202016";"Elektrotechnik";""
4;"202017";"202017";"Embedded Systems";""
4;"202018";"202018";"Halbleiterelektronik";""
4;"202019";"202019";"Hochfrequenztechnik";""
4;"202020";"202020";"Hochspannungstechnik";""
4;"202021";"202021";"Industrielle Elektronik";""
4;"202022";"202022";"Informationstechnik";""
4;"202023";"202023";"Integrierte Schaltkreise";""
4;"202024";"202024";"Lasertechnik";""
4;"202025";"202025";"Leistungselektronik";""
4;"202026";"202026";"Lichttechnik";""
4;"202027";"202027";"Mechatronik";""
4;"202028";"202028";"Mikroelektronik";""
4;"202029";"202029";"Mikrowellentechnik";""
4;"202030";"202030";"Nachrichtentechnik";""
4;"202031";"202031";"Netzwerktechnik";""
4;"202032";"202032";"Photovoltaik";""
4;"202033";"202033";"Radartechnik";""
4;"202034";"202034";"Regelungstechnik";""
4;"202035";"202035";"Robotik";""
4;"202036";"202036";"Sensorik";""
4;"202037";"202037";"Signalverarbeitung";""
4;"202038";"202038";"Telekommunikation";""
4;"202039";"202039";"Theoretische Elektrotechnik";""
4;"202040";"202040";"Übertragungstechnik";""
4;"202041";"202041";"Technische Informatik";""
4;"202042";"202042";"Optische Nachrichtentechnik";""
4;"202043";"202043";"Netzwerksicherheit";""
2;"203";"203";"Maschinenbau";""
3;"2030";"2030";"Maschinenbau";""
4;"203001";"203001";"Apparatebau";""
4;"203002";"203002";"Betriebsfestigkeit";""
4;"203003";"203003";"Bruchmechanik";""
4;"203004";"203004";"Fahrzeugtechnik";""
4;"203005";"203005";"Feinwerktechnik";""
4;"203006";"203006";"Fertigungstechnik";""
4;"203007";"203007";"Festigkeitslehre";""
4;"203008";"203008";"Fördertechnik";""
4;"203009";"203009";"Kältetechnik";""
4;"203010";"203010";"Klimatechnik";""
4;"203011";"203011";"Leichtbau";""
4;"203012";"203012";"Luftfahrttechnik";""
4;"203013";"203013";"Maschinenbau";""
4;"203014";"203014";"Maschinendynamik";""
4;"203015";"203015";"Mechatronik";""
4;"203016";"203016";"Messtechnik";""
4;"203017";"203017";"Mikromechanik";""
4;"203018";"203018";"Montanmaschinenbau";""
4;"203019";"203019";"Reaktortechnik";""
4;"203020";"203020";"Schweißtechnik";""
4;"203021";"203021";"Strömungsmaschinen";""
4;"203022";"203022";"Technische Mechanik";""
4;"203023";"203023";"Thermische Turbomaschinen";""
4;"203024";"203024";"Thermodynamik";""
4;"203025";"203025";"Tribologie";""
4;"203026";"203026";"Umformtechnik";""
4;"203027";"203027";"Verbrennungskraftmaschinen";""
4;"203028";"203028";"Wärmetechnik";""
4;"203029";"203029";"Werkzeugbau";""
4;"203030";"203030";"Brennstoffzellentechnik";""
4;"203031";"203031";"Konstruktionslehre";""
4;"203032";"203032";"Generative Fertigungsverfahren";""
4;"203033";"203033";"Hydraulische Antriebstechnik";""
4;"203034";"203034";"Kontinuumsmechanik";""
4;"203035";"203035";"Thermoprozesstechnik";""
4;"203036";"203036";"Waffen- und Munitionstechnik";""
4;"203037";"203037";"Computational Engineering";""
4;"203038";"203038";"Lüftungstechnik";""
2;"204";"204";"Chemische Verfahrenstechnik";""
3;"2040";"2040";"Chemische Verfahrenstechnik";""
4;"204001";"204001";"Anorganisch-chemische Technologie";""
4;"204002";"204002";"Chemische Reaktionstechnik";""
4;"204003";"204003";"Chemische Verfahrenstechnik";""
4;"204004";"204004";"Organisch-chemische Technologie";""
4;"204005";"204005";"Raffinerietechnik";""
4;"204006";"204006";"Mechanische Verfahrenstechnik";""
4;"204007";"204007";"Thermische Verfahrenstechnik";""
4;"204008";"204008";"Membrantechnologie";""
2;"205";"205";"Werkstofftechnik";""
3;"2050";"2050";"Werkstofftechnik";""
4;"205001";"205001";"Baustoffprüfung";""
4;"205002";"205002";"Beschichtungstechnik";""
4;"205003";"205003";"Feuerfeste Materialien";""
4;"205004";"205004";"Funktionsmaterialien";""
4;"205005";"205005";"Gesteinshüttenkunde";""
4;"205006";"205006";"Holzforschung";""
4;"205007";"205007";"Holzschutzmittel";""
4;"205008";"205008";"Holztechnologie";""
4;"205009";"205009";"Keramische Werkstoffe";""
4;"205010";"205010";"Korrosionsschutzmittel";""
4;"205011";"205011";"Kunststofftechnik";""
4;"205012";"205012";"Kunststoffverarbeitung";""
4;"205013";"205013";"Schadensanalytik";""
4;"205014";"205014";"Textiltechnik";""
4;"205015";"205015";"Verbundwerkstoffe";""
4;"205016";"205016";"Werkstoffprüfung";""
4;"205017";"205017";"Werkstofftechnik";""
4;"205018";"205018";"Zellstoff- und Papiertechnik";""
4;"205019";"205019";"Materialwissenschaften";""
2;"206";"206";"Medizintechnik";""
3;"2060";"2060";"Medizintechnik";""
4;"206001";"206001";"Biomedizinische Technik";""
4;"206002";"206002";"Elektromedizinische Technik";""
4;"206003";"206003";"Medizinische Physik";""
4;"206004";"206004";"Medizintechnik";""
4;"206005";"206005";"Prothetik";""
4;"206006";"206006";"Rehabilitationstechnik";""
2;"207";"207";"Umweltingenieurwesen, Angewandte Geowissenschaften";""
3;"2071";"2071";"Umwelttechnik";""
4;"207101";"207101";"Abfalltechnik";""
4;"207102";"207102";"Abluftreinigung";""
4;"207103";"207103";"Abwasserreinigung";""
4;"207104";"207104";"Altlastensanierung";""
4;"207105";"207105";"Deponietechnik";""
4;"207106";"207106";"Erneuerbare Energie";""
4;"207107";"207107";"Luftreinhaltung";""
4;"207108";"207108";"Recycling";""
4;"207109";"207109";"Schadstoffemission";""
4;"207110";"207110";"Technischer Umweltschutz";""
4;"207111";"207111";"Umwelttechnik";""
4;"207112";"207112";"Wasseraufbereitung";""
4;"207113";"207113";"Wasserinfrastruktur";""
4;"207114";"207114";"Wasserwirtschaft";""
3;"2072";"2072";"Ingenieurgeologie, Geotechnik";""
4;"207201";"207201";"Bodenmechanik";""
4;"207202";"207202";"Erdbau";""
4;"207203";"207203";"Felsmechanik";""
4;"207204";"207204";"Geotechnik";""
4;"207205";"207205";"Grundbau";""
4;"207206";"207206";"Ingenieurgeologie";""
4;"207207";"207207";"Tunnelbau";""
4;"207208";"207208";"Tunnelbelüftung";""
3;"2073";"2073";"Bergbau, Erdölgewinnung";""
4;"207301";"207301";"Aufbereitung mineralischer Rohstoffe";""
4;"207302";"207302";"Bergbaukunde";""
4;"207303";"207303";"Bergschadenkunde";""
4;"207304";"207304";"Erdgasgewinnung";""
4;"207305";"207305";"Erdgastechnik";""
4;"207306";"207306";"Erdölgeologie";""
4;"207307";"207307";"Erdölgewinnung";""
4;"207308";"207308";"Erdöltechnik";""
4;"207309";"207309";"Geschichte des Bergbaus";""
4;"207310";"207310";"Gewinnung mineralischer Rohstoffe";""
4;"207311";"207311";"Lagerstättenkunde";""
4;"207312";"207312";"Markscheidekunde";""
4;"207313";"207313";"Tiefbohrtechnik";""
4;"207314";"207314";"Untertagebau";""
3;"2074";"2074";"Geodäsie, Vermessungswesen";""
4;"207401";"207401";"3D-Vermessung";""
4;"207402";"207402";"Fernerkundung";""
4;"207403";"207403";"Geodäsie";""
4;"207404";"207404";"Geoinformatik";""
4;"207405";"207405";"Ingenieurgeodäsie";""
4;"207406";"207406";"Kartographie";""
4;"207407";"207407";"Katastervermessung";""
4;"207408";"207408";"Landesvermessung";""
4;"207409";"207409";"Navigationssysteme";""
4;"207410";"207410";"Photogrammetrie";""
4;"207411";"207411";"Satellitengeodäsie";""
4;"207412";"207412";"Satellitengestützte Koordinatenmessung";""
4;"207413";"207413";"Vermessungswesen";""
3;"2079";"2079";"Sonstiges Umweltingenieurwesen, Angewandte Geowissenschaften";""
4;"207901";"207901";"Offshore-Technik";""
4;"207902";"207902";"Computational Geosciences";""
2;"208";"208";"Umweltbiotechnologie";""
3;"2080";"2080";"Umweltbiotechnologie";""
4;"208001";"208001";"Bioremediation";""
4;"208002";"208002";"Ethik in der Umweltbiotechnologie";""
4;"208003";"208003";"Umweltbiotechnologie";""
2;"209";"209";"Industrielle Biotechnologie";""
3;"2090";"2090";"Industrielle Biotechnologie";""
4;"209001";"209001";"Biokatalyse";""
4;"209002";"209002";"Bioprozesstechnik";""
4;"209003";"209003";"Biotreibstoffe";""
4;"209004";"209004";"Enzymtechnologie";""
4;"209005";"209005";"Fermentation";""
4;"209006";"209006";"Industrielle Biotechnologie";""
2;"210";"210";"Nanotechnologie";""
3;"2100";"2100";"Nanotechnologie";""
4;"210001";"210001";"Nanoanalytik";""
4;"210002";"210002";"Nanobiotechnologie";""
4;"210003";"210003";"Nanoelektronik";""
4;"210004";"210004";"Nanomaterialien";""
4;"210005";"210005";"Nanophotonik";""
4;"210006";"210006";"Nanotechnologie";""
2;"211";"211";"Andere Technische Wissenschaften";""
3;"2111";"2111";"Metallurgie";""
4;"211101";"211101";"Eisen- und Stahlmetallurgie";""
4;"211102";"211102";"Gießereitechnik";""
4;"211103";"211103";"Metallkunde";""
4;"211104";"211104";"Metallurgie";""
4;"211105";"211105";"Nichteisenmetallurgie";""
4;"211106";"211106";"Leichtmetalle";""
4;"211107";"211107";"Sekundärmetallurgie";""
3;"2112";"2112";"Lebensmitteltechnologie";""
4;"211201";"211201";"Getreidetechnologie";""
4;"211202";"211202";"Lebensmitteltechnologie";""
4;"211203";"211203";"Lebensmittelverfahrenstechnik";""
4;"211204";"211204";"Fleischtechnologie";""
3;"2119";"2119";"Sonstige Technische Wissenschaften";""
4;"211901";"211901";"Abfallvermeidung";""
4;"211902";"211902";"Assistierende Technologien";""
4;"211903";"211903";"Betriebswissenschaften";""
4;"211904";"211904";"Biomechanik";""
4;"211905";"211905";"Bionik";""
4;"211906";"211906";"Brandschutz";""
4;"211907";"211907";"Energieeinsparung";""
4;"211908";"211908";"Energieforschung";""
4;"211909";"211909";"Energietechnik";""
4;"211910";"211910";"Lärmschutz";""
4;"211911";"211911";"Nachhaltige Technologien";""
4;"211912";"211912";"Produktgestaltung";""
4;"211913";"211913";"Qualitätssicherung";""
4;"211914";"211914";"Risikoforschung";""
4;"211915";"211915";"Solartechnik";""
4;"211916";"211916";"Sprengtechnik";""
4;"211917";"211917";"Technikfolgenabschätzung";""
4;"211918";"211918";"Technikgeschichte";""
4;"211919";"211919";"Thermographie";""
4;"211920";"211920";"Verpackungstechnik";""
4;"211921";"211921";"Zivil- und Katastrophenschutz";""
4;"211922";"211922";"Energiespeicherung";""
4;"211923";"211923";"Fabrikplanung";""
4;"211924";"211924";"Prozess- und Anlagensicherheit";""
4;"211925";"211925";"Explosionsforschung";""
4;"211926";"211926";"Technikethik";""
1;"3";"3";"HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN";""
2;"301";"301";"Medizinisch-theoretische Wissenschaften, Pharmazie";""
3;"3011";"3011";"Anatomie, Pathologie, Physiologie";""
4;"301101";"301101";"Allgemeine Pathologie";""
4;"301102";"301102";"Anatomie";""
4;"301103";"301103";"Diagnostik in der Medizin";""
4;"301104";"301104";"Embryologie";""
4;"301105";"301105";"Experimentelle Pathologie";""
4;"301106";"301106";"Funktionelle Anatomie";""
4;"301107";"301107";"Histologie";""
4;"301108";"301108";"Molekulare Pathologie";""
4;"301109";"301109";"Pathophysiologie";""
4;"301110";"301110";"Physiologie";""
4;"301111";"301111";"Röntgenanatomie";""
4;"301112";"301112";"Systematische Anatomie";""
4;"301113";"301113";"Topographische Anatomie";""
4;"301114";"301114";"Zellbiologie";""
